user_id,request_type,type_id,request_timestamp
DNcd8dnS,Complaint about a store item,3,2019-03-28 13:58:24
0e9MvwGs,Fraud,5,2019-03-08 17:11:59
boyDUG4C,Fraud,5,2019-03-03 17:52:34
5jMA27s1,Complaint about a store item,3,2019-03-16 15:18:21
wvtyctOK,Fake reviews,2,2019-03-13 14:43:14
zvN8W1tc,Complaint about a video review,8,2019-03-29 20:32:17
bBmybSbr,Website not working,1,2019-04-08 21:37:15
5JX1P5G8,Sale of prohibited items,6,2019-04-06 12:15:20
pbbG3xWx,Website not working,1,2019-04-09 17:30:43
vZWtTovT,Complaint about a store item,3,2019-04-16 12:26:16
Z8QkS5lh,Sale of counterfeited items,4,2019-04-12 16:13:52
H1yviJ5h,Complaint about a video review,8,2019-04-18 10:15:21
jXiVC25K,The review was deleted,7,2019-04-17 20:27:23
v4dOKjDS,Fraud,5,2019-04-24 18:44:37
Bbcv3iBm,The review was deleted,7,2019-03-23 18:50:55
iSDspQ8Q,Complaint about a store item,3,2019-04-16 18:21:15
QF34wVLg,Fraud,5,2019-03-03 17:52:52
86eCZmXh,The review was deleted,7,2019-04-26 19:20:27
awqAk5rl,Fraud,5,2019-03-10 11:27:15
KNzm1yes,Complaint about a store item,3,2019-04-25 17:53:24
Qv0NhwTA,Website not working,1,2019-03-22 19:23:41
gpEdus3v,Fraud,5,2019-04-12 20:55:26
LJezc9fq,Complaint about a store item,3,2019-03-12 21:23:52
nnaT9guH,Sale of prohibited items,6,2019-04-18 16:24:12
VwWCu1lT,Fraud,5,2019-03-04 15:32:25
yty9HQMF,Fake reviews,2,2019-03-02 13:44:28
tf2pqX9E,Complaint about a store item,3,2019-03-18 16:14:35
bvCpkIFk,Website not working,1,2019-03-17 18:28:19
yJtRbmmQ,Sale of prohibited items,6,2019-04-22 16:34:34
Xk2jQKeB,The review was deleted,7,2019-04-14 18:46:49
0XYMMdxR,Website not working,1,2019-04-02 11:40:58
i111MQt6,Complaint about a video review,8,2019-03-04 16:36:21
WHzbzUpQ,Sale of prohibited items,6,2019-04-07 20:25:36
J8l5161Y,Complaint about a store item,3,2019-04-03 16:37:33
gHX3VOAG,Website not working,1,2019-03-20 11:35:59
ThhmtaLe,The review was deleted,7,2019-03-15 18:17:54
4wc8ZM9i,Fraud,5,2019-04-10 13:22:29
25vG2LVL,Complaint about a store item,3,2019-03-01 13:15:38
Rwdfrccg,Fake reviews,2,2019-04-18 14:57:56
d79m5wcb,Website not working,1,2019-03-10 11:22:58
nleVvpc5,Complaint about a video review,8,2019-04-11 18:58:47
Bv6TwmnA,Sale of prohibited items,6,2019-04-21 21:26:16
WTlRRkzn,Website not working,1,2019-03-24 20:13:48
i68F9g8g,Sale of counterfeited items,4,2019-04-07 10:37:12
FEsXXPnw,Sale of prohibited items,6,2019-03-09 15:24:48
nYcpFMjR,Complaint about a video review,8,2019-03-20 14:58:35
MsJca10P,Fake reviews,2,2019-03-09 15:32:19
3oCaXYv3,Fake reviews,2,2019-03-21 13:39:29
QAveTzUh,Complaint about a store item,3,2019-04-18 14:48:23
sg6NCrfv,Fraud,5,2019-03-03 14:35:48
g42X5vdx,Sale of counterfeited items,4,2019-04-01 13:38:42
RWhCChtW,The review was deleted,7,2019-03-16 18:24:14
aNZGzFiV,Complaint about a store item,3,2019-04-09 13:47:13
4Lj0ZBY3,Fraud,5,2019-03-01 14:38:36
HszM3BXH,Fraud,5,2019-03-01 12:35:32
5xxp7dhV,Complaint about a video review,8,2019-04-18 16:37:44
mbzNWBqv,Complaint about a store item,3,2019-03-11 13:42:56
9ZqMfUWD,Sale of counterfeited items,4,2019-04-04 21:52:44
Z4bWbv2t,Fraud,5,2019-03-11 15:11:27
yo13fesz,Fake reviews,2,2019-03-02 12:46:16
yLekGxzr,Fake reviews,2,2019-03-03 13:12:30
HivyEFsA,Fake reviews,2,2019-03-19 21:32:19
xPXG6MGx,Complaint about a video review,8,2019-04-24 11:56:26
OFdOPiuV,Sale of counterfeited items,4,2019-03-19 14:11:11
ZNuDU9tX,Sale of prohibited items,6,2019-04-10 18:13:52
eXDxLazY,Sale of counterfeited items,4,2019-04-13 15:52:13
VtAS39Ym,Website not working,1,2019-04-13 20:23:34
oy3ZTqzy,Sale of prohibited items,6,2019-04-23 13:32:57
uxk3Co65,Fraud,5,2019-03-26 16:10:16
kl5TtzbY,Website not working,1,2019-04-14 21:41:30
L5W17rL6,Complaint about a video review,8,2019-03-28 19:25:52
M7LzJL2Z,Fake reviews,2,2019-04-14 15:37:44
O40iikVU,Complaint about a store item,3,2019-03-18 21:27:57
JylNe91r,Complaint about a store item,3,2019-03-13 21:44:19
0tDKUxPO,Complaint about a video review,8,2019-04-30 14:41:55
1SFYynwU,Complaint about a video review,8,2019-04-24 21:49:45
OjfRgpbW,Complaint about a store item,3,2019-04-11 14:39:11
iyaJ3Axl,Complaint about a video review,8,2019-04-05 19:38:44
zSXPTYpF,Complaint about a store item,3,2019-04-01 15:56:23
Ar5kTQNM,Complaint about a store item,3,2019-04-14 16:10:49
Obw6WF71,Website not working,1,2019-03-14 21:34:13
EtRpvA3N,Fake reviews,2,2019-03-15 11:16:18
mRORU4D6,Complaint about a video review,8,2019-03-30 14:25:31
Sy2uqob1,Complaint about a video review,8,2019-03-22 16:10:35
eh3Ftbxj,Complaint about a video review,8,2019-03-02 17:47:22
KJi5GOy2,The review was deleted,7,2019-03-23 11:15:18
6VC8y19w,Complaint about a video review,8,2019-04-10 21:46:18
WH9skfP0,Complaint about a store item,3,2019-03-01 14:51:30
ll1cRq6x,The review was deleted,7,2019-04-22 12:18:11
iVIvQ8AA,Fake reviews,2,2019-04-05 15:29:23
2oofRUW1,Complaint about a store item,3,2019-04-06 17:34:36
X1rhaUCh,Complaint about a store item,3,2019-04-22 10:17:55
rwZx0Tn1,Complaint about a store item,3,2019-04-11 21:31:34
HQMhDjLM,Sale of counterfeited items,4,2019-03-13 15:11:40
7CQU61V1,Complaint about a store item,3,2019-03-09 14:13:23
wCXTX1Hp,Complaint about a store item,3,2019-04-04 18:41:15
OJUZvP8D,Website not working,1,2019-04-14 19:35:14
25nGEzlB,Complaint about a store item,3,2019-03-05 17:55:19
c4gHwVbK,Fake reviews,2,2019-03-07 17:54:31
it1jdp63,Fake reviews,2,2019-04-29 15:46:19
LBi2UI1O,Fake reviews,2,2019-04-23 11:33:52
v0T2K8gz,Sale of prohibited items,6,2019-04-18 17:50:11
cBe6rF3V,The review was deleted,7,2019-03-08 11:58:20
8P08x5OM,Website not working,1,2019-04-01 20:22:50
vVcl2T6d,Website not working,1,2019-03-22 11:59:30
83uYlOAa,Fake reviews,2,2019-03-04 16:54:26
kP8gzvHI,Website not working,1,2019-04-12 21:59:19
chJHTyv1,Complaint about a store item,3,2019-04-28 17:10:53
bdigAMQz,Fraud,5,2019-03-26 10:17:46
zIkTWrdf,The review was deleted,7,2019-03-01 18:33:43
0rKdih25,Complaint about a store item,3,2019-03-16 19:54:12
KkFUh0Gq,Sale of prohibited items,6,2019-04-04 18:28:17
sh3ruj0z,Fake reviews,2,2019-03-06 12:20:53
qMAB1iw1,Complaint about a store item,3,2019-03-28 13:53:21
OKBAYj2C,The review was deleted,7,2019-04-02 10:10:22
xHPsf2Ee,Complaint about a video review,8,2019-03-27 10:22:45
8yMWbdmz,Website not working,1,2019-04-26 16:11:17
AtiDwhTS,Fake reviews,2,2019-03-21 21:53:32
ljV15SAt,Fraud,5,2019-03-23 17:21:18
1jsuiMlG,Website not working,1,2019-03-09 20:32:38
UxBSw4NV,Website not working,1,2019-03-26 13:18:20
1LhRwcM1,Complaint about a video review,8,2019-04-14 20:50:19
vjSnEJCh,The review was deleted,7,2019-03-05 19:30:44
UqhTmK4p,Complaint about a store item,3,2019-03-16 14:26:13
PPNDg4gu,Website not working,1,2019-04-05 15:12:50
NNR7DDqm,Complaint about a store item,3,2019-03-13 17:43:45
AY06gR6T,Fraud,5,2019-03-30 14:10:27
L67yCeyD,Complaint about a video review,8,2019-03-18 16:57:14
9kHM4Ezd,The review was deleted,7,2019-03-24 19:33:28
HdiTh3hc,Fraud,5,2019-03-19 16:38:51
T01rbJ9T,Sale of counterfeited items,4,2019-04-04 12:12:37
P1w45JfH,The review was deleted,7,2019-04-02 21:32:58
0fk0OQ0m,Website not working,1,2019-03-06 18:41:25
rXbQble7,Complaint about a video review,8,2019-03-09 13:31:18
HrnPpcOQ,Complaint about a store item,3,2019-03-26 11:10:37
a2fIOqyx,Complaint about a video review,8,2019-03-19 12:15:50
rG2BMLKT,Complaint about a store item,3,2019-03-25 11:11:29
w5llOG6H,Fake reviews,2,2019-04-10 12:35:48
1VnQwxQe,Website not working,1,2019-04-19 19:53:47
zRpblHzy,Fake reviews,2,2019-04-17 14:25:14
1Eyn1Yi4,Sale of prohibited items,6,2019-03-21 20:51:11
91xB74qS,Fraud,5,2019-03-19 19:12:24
KszqYdEH,Fraud,5,2019-04-30 20:16:40
gSKtGp3f,Complaint about a store item,3,2019-03-04 21:46:51
EJ11xXa3,Fraud,5,2019-04-05 15:12:29
VEBKWaTy,Sale of prohibited items,6,2019-03-03 14:43:38
Yfe66NwV,The review was deleted,7,2019-03-28 12:42:54
VyCPBhAN,Fake reviews,2,2019-04-29 11:49:43
nRq1rd5v,The review was deleted,7,2019-03-25 10:25:44
5Oe580nV,Complaint about a video review,8,2019-04-22 18:55:42
MGBq4qHX,Complaint about a video review,8,2019-03-11 12:36:32
8NasCFvs,Complaint about a video review,8,2019-04-29 13:19:37
JiiJDWDE,Fake reviews,2,2019-03-28 12:30:48
CMoRDtUi,Fake reviews,2,2019-04-18 16:31:35
lFXIuxCQ,Complaint about a video review,8,2019-04-21 18:49:49
giEXErjr,Complaint about a store item,3,2019-04-10 10:20:57
5lWjRJtk,Sale of prohibited items,6,2019-04-19 21:14:36
pUYa3dU9,Fraud,5,2019-03-03 13:47:17
hcJlkCwI,Fraud,5,2019-04-25 19:46:46
qH2THL4G,Complaint about a store item,3,2019-04-13 10:14:52
61RhsDUE,Sale of prohibited items,6,2019-03-23 14:47:56
ZzMFKXRi,Complaint about a store item,3,2019-03-03 11:39:30
KFloZDwF,Sale of counterfeited items,4,2019-03-15 12:12:58
LpXt0duL,Fraud,5,2019-03-04 15:21:43
HIMT7nT1,Website not working,1,2019-03-27 21:50:46
XBbgerHy,Fake reviews,2,2019-04-03 16:21:14
